model_link_id,ROUTE_SYS,legacy_osm_lanes,mndot,widot,anoka,hennepin,carver,dakota,washington,naive,osm_min,osm_max,osm_mode
289,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
290,NA,0,0,2,0,0,0,0,0,1,NA,NA,NA
291,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
292,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
293,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
294,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
295,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
296,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
297,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
298,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
299,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
300,21,0,1,0,0,0,0,0,0,1,NA,NA,NA
301,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
302,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
303,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
304,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
305,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
306,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
307,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
308,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
309,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
310,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
311,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
312,5,2,2,0,0,0,0,0,0,1,4,4,4
313,5,2,2,0,0,0,0,0,0,1,2,2,2
314,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
315,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
316,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
317,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
318,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
319,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
320,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
321,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
322,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
323,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
324,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
325,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
326,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
327,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
328,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
329,5,1,1,0,0,0,0,0,0,1,2,2,2
330,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
331,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
332,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
333,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
334,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
335,5,1,1,0,0,0,0,0,0,1,2,2,2
336,5,2,1,0,0,0,0,0,0,1,2,2,2
337,5,2,1,0,0,0,0,0,0,1,2,2,2
338,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
339,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
340,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
341,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
342,5,2,1,0,0,0,0,0,0,1,2,2,2
343,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
344,21,0,2,0,0,0,0,0,0,1,NA,NA,NA
345,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
346,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
347,4,2,2,0,0,0,0,0,0,1,2,2,2
348,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
349,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
350,4,2,2,0,0,0,0,0,0,1,2,2,2
351,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
352,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
353,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
354,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
355,4,0,2,0,0,0,0,0,0,1,NA,NA,NA
356,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
357,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
358,4,2,2,0,0,0,0,0,0,1,2,2,2
359,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
360,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
361,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
362,4,2,2,0,0,0,0,0,0,1,2,2,2
363,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
364,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
365,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
366,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
367,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
368,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
369,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
370,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
371,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
372,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
373,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
374,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
375,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
376,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
377,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
378,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
379,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
380,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
381,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
382,4,0,1,0,0,0,1,0,0,1,NA,NA,NA
383,4,0,1,0,0,0,0,0,0,1,NA,NA,NA
384,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
385,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
386,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
387,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
388,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
389,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
390,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
391,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
392,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
393,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
394,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
395,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
396,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
397,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
398,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
399,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
400,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
401,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
402,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
403,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
404,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
405,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
406,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
407,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
408,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
409,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
410,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
411,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
412,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
413,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
414,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
415,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
416,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
417,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
418,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
419,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
420,5,0,0,0,0,0,0,0,0,1,NA,NA,NA
421,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
422,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
423,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
424,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
425,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
426,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
427,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
428,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
429,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
430,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
431,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
432,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
433,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
434,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
435,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
436,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
437,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
438,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
439,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
