osm_link_id,model_link_id,ROUTE_SYS,OSMlanes,mndot,widot,anoka,hennepin,carver,dakota,washington,here,naive,dot,lanes,osm_latest,osm_latest_min,osm_latest_max,osm_latest_mode
76767464,190,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18076746,191,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767460,192,26,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,193,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767462,194,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18066100,195,21,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18066100,196,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767464,197,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767464,198,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
6008465,199,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
6008465,200,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
463969340,201,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
76767460,202,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,203,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767462,204,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767466,205,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
187887729,206,7,0,1,0,0,0,0,0,2,2,1,1,2,,,,
"25,186,589,446,349,500",207,7,0,1,0,0,0,0,0,2,3,1,1,2,,,,
229019580,208,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
6008465,209,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
229019571,210,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18090583,211,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18090583,212,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019571,213,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
130628757,214,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
